,id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
28,tm59314,D.O.A.,MOVIE,1950,83,"['crime', 'comedy', 'thriller', 'drama']",0.0,7.2,11816.0,7.932,6.9
29,tm74188,Jungle Book,MOVIE,1942,106,"['fantasy', 'family', 'action']",0.0,6.7,4195.0,6.515,6.3
30,tm159958,Love Affair,MOVIE,1939,88,"['romance', 'drama', 'comedy']",0.0,7.3,5421.0,4.028,7.3
31,tm88469,The Bishop's Wife,MOVIE,1947,109,"['fantasy', 'comedy', 'drama', 'romance']",0.0,7.6,17675.0,9.031,7.1
32,tm100997,Of Human Bondage,MOVIE,1934,83,"['drama', 'romance']",0.0,7.0,7332.0,5.776,6.6
33,tm70212,Our Town,MOVIE,1940,90,"['romance', 'drama', 'family']",0.0,6.5,2607.0,2.847,5.6
34,tm159975,The Little Princess,MOVIE,1939,93,"['comedy', 'drama', 'family']",0.0,7.1,6122.0,6.148,6.8
35,tm56594,The Jackie Robinson Story,MOVIE,1950,76,"['drama', 'sport']",0.0,6.3,1272.0,1.957,6.4
36,tm89268,The Secret Life of Walter Mitty,MOVIE,1947,105,"['romance', 'comedy', 'fantasy']",0.0,6.9,6307.0,5.415,6.8
37,tm87972,The Strange Love of Martha Ivers,MOVIE,1946,115,"['thriller', 'romance', 'drama']",0.0,7.4,9729.0,9.703,7.2
38,tm79732,Flying Tigers,MOVIE,1942,102,"['drama', 'romance', 'war', 'action']",0.0,6.7,3917.0,3.238,6.1
39,tm140201,Lady Windermere's Fan,MOVIE,1925,120,['comedy'],0.0,7.2,1157.0,2.313,6.9
40,tm71517,Dead End,MOVIE,1937,93,"['crime', 'drama', 'romance']",0.0,7.3,7504.0,8.068,7.1
41,tm84154,Meet John Doe,MOVIE,1941,122,"['romance', 'comedy', 'drama']",0.0,7.6,13443.0,8.574,7.4
42,tm119274,The Outlaw,MOVIE,1943,116,['western'],0.0,,,7.503,5.6
43,tm52327,The Front Page,MOVIE,1931,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",0.0,6.2,17.0,5.403,6.6
44,tm5661,White Zombie,MOVIE,1932,67,['horror'],0.0,6.3,10410.0,6.822,5.9
45,tm6408,Bird of Paradise,MOVIE,1932,80,"['romance', 'drama']",0.0,6.0,1298.0,3.164,5.0
46,tm140761,The Lost World,MOVIE,1925,93,"['fantasy', 'thriller', 'scifi']",0.0,7.0,5185.0,8.026,6.7
47,tm1200,49th Parallel,MOVIE,1941,123,"['thriller', 'war', 'drama']",0.0,7.3,6716.0,8.475,7.0
48,tm138416,The Private Life of Henry VIII,MOVIE,1933,90,"['history', 'comedy', 'drama', 'romance']",0.0,7.0,4297.0,5.268,6.4
49,tm17109,The Southerner,MOVIE,1945,92,['drama'],0.0,7.1,3443.0,3.753,6.3
50,tm108119,Hangmen Also Die!,MOVIE,1943,134,"['thriller', 'war', 'drama']",0.0,7.4,5442.0,6.772,7.0
51,tm52,A Farewell to Arms,MOVIE,1932,89,"['drama', 'romance', 'war']",0.0,6.4,5970.0,7.581,6.3
52,tm97774,The Scarlet Letter,MOVIE,1934,69,"['drama', 'history', 'romance']",0.0,5.3,367.0,1.666,4.0
53,tm8190,The Hunchback of Notre Dame,MOVIE,1923,113,"['horror', 'drama', 'romance']",0.0,7.2,5387.0,5.431,6.5
54,tm53452,Tabu,MOVIE,1931,86,"['drama', 'romance', 'action']",0.0,7.4,5783.0,7.156,7.3
55,tm60168,The Big Lift,MOVIE,1950,120,"['drama', 'war']",0.0,6.5,1550.0,2.667,6.7
56,tm70223,Why We Fight: Prelude to War,MOVIE,1942,53,"['documentation', 'war']",0.0,7.0,2194.0,3.877,6.6
57,tm60798,The Fighting Kentuckian,MOVIE,1949,100,"['western', 'war', 'romance']",0.0,6.4,3260.0,7.146,5.8
58,tm77319,Santa Fe Trail,MOVIE,1940,110,"['western', 'war', 'drama', 'history', 'romance']",0.0,6.2,3754.0,5.925,5.8
59,tm17383,Dick Tracy,MOVIE,1945,61,"['action', 'crime', 'thriller', 'family']",0.0,5.9,1380.0,2.627,5.1
60,tm50402,Woman on the Run,MOVIE,1950,77,"['drama', 'crime', 'thriller']",0.0,7.2,3901.0,4.814,6.8
61,tm88502,Life with Father,MOVIE,1947,118,"['comedy', 'family']",0.0,7.1,5446.0,4.151,6.4
62,tm62593,Nothing Sacred,MOVIE,1937,77,"['romance', 'drama', 'fantasy', 'comedy']",0.0,6.9,6570.0,4.764,6.3
63,tm85417,Penny Serenade,MOVIE,1941,119,"['romance', 'drama']",0.0,7.1,7087.0,5.767,6.8
64,tm4525,He Walked by Night,MOVIE,1949,79,"['thriller', 'crime']",0.0,7.1,5943.0,5.253,6.7
65,tm5051,Algiers,MOVIE,1938,96,"['drama', 'romance']",0.0,6.7,2803.0,2.472,6.7
66,tm7107,Louisiana Story,MOVIE,1948,78,['drama'],0.0,6.6,1895.0,2.775,6.8
67,tm118203,Jack London,MOVIE,1943,94,"['drama', 'war', 'romance']",0.0,5.1,389.0,2.022,5.8
68,tm100333,Broken Blossoms,MOVIE,1919,89,"['romance', 'drama']",0.0,7.3,10230.0,6.012,6.9
69,tm109275,Dr. Jekyll and Mr. Hyde,MOVIE,1920,79,"['horror', 'scifi', 'drama']",0.0,6.9,5367.0,8.16,7.0
70,tm142410,The Pleasure Garden,MOVIE,1925,75,"['romance', 'drama']",0.0,5.8,2504.0,3.871,5.4
71,tm61613,Too Late for Tears,MOVIE,1949,99,"['crime', 'thriller', 'drama']",0.0,7.3,4678.0,5.145,6.9
72,tm61597,Trapped,MOVIE,1949,78,"['thriller', 'crime', 'drama']",0.0,6.4,1352.0,2.876,5.8
73,tm131025,Mother,MOVIE,1926,89,['drama'],0.0,7.5,2785.0,4.756,7.3
74,tm127199,Orphans of the Storm,MOVIE,1921,150,"['drama', 'history', 'romance']",0.0,7.3,5133.0,5.002,7.0
75,tm91719,Let There Be Light,MOVIE,1946,58,"['war', 'documentation']",0.0,7.4,1850.0,3.226,7.4
76,tm90549,The Red House,MOVIE,1947,100,"['thriller', 'horror', 'drama']",0.0,6.8,4016.0,3.991,6.3
77,tm87103,Robin Hood,MOVIE,1922,133,"['romance', 'family']",0.0,7.1,2219.0,2.426,6.3
78,tm72646,The Hurricane,MOVIE,1937,110,"['drama', 'romance', 'action']",0.0,7.2,2595.0,2.85,7.0
80,tm3083,The Memphis Belle: A Story of a Flying Fortress,MOVIE,1944,45,"['war', 'documentation', 'history']",0.0,7.3,1646.0,2.497,6.7
81,tm17025,The Cat and the Canary,MOVIE,1927,108,"['comedy', 'thriller', 'horror']",0.0,7.1,2981.0,5.109,7.0
82,tm113262,These Three,MOVIE,1936,93,"['romance', 'drama']",0.0,7.4,2705.0,3.913,7.3
83,tm90149,Smash-Up: The Story of a Woman,MOVIE,1947,103,"['drama', 'music', 'romance']",0.0,6.4,1489.0,2.302,6.0
84,tm4412,Submarine Warfare,MOVIE,1944,38,"['war', 'documentation']",0.0,5.9,9.0,0.6,
85,tm67825,Impact,MOVIE,1949,111,"['thriller', 'crime', 'drama']",0.0,7.0,3809.0,4.016,6.3
86,tm5493,The Amazing Mr. X,MOVIE,1948,78,"['thriller', 'horror']",0.0,6.4,1789.0,4.024,6.1
87,tm72394,The Green Hornet,MOVIE,1940,258,"['crime', 'drama', 'family', 'scifi', 'thriller']",0.0,6.5,609.0,1.164,5.9
88,tm16924,College,MOVIE,1927,66,"['comedy', 'drama', 'sport']",0.0,7.0,4836.0,5.164,6.8
89,tm82402,The Devil Bat,MOVIE,1940,68,"['horror', 'scifi']",0.0,5.5,3006.0,3.612,5.3
90,tm158,A Song Is Born,MOVIE,1948,113,"['music', 'action', 'comedy', 'romance']",0.0,6.9,2489.0,3.459,6.5
91,ts55748,What's My Line?,SHOW,1950,30,"['reality', 'family']",18.0,8.6,1563.0,87.392,6.9
92,tm87277,The Headless Horseman,MOVIE,1922,76,"['horror', 'comedy', 'drama']",0.0,4.9,299.0,0.747,5.5
93,tm112752,Sherlock Holmes and the Secret Weapon,MOVIE,1943,68,"['thriller', 'crime', 'drama']",0.0,6.5,5948.0,4.593,6.3
94,tm137796,The Kennel Murder Case,MOVIE,1933,73,['crime'],0.0,6.9,3447.0,2.496,6.3
95,tm15689,The Woman in Green,MOVIE,1945,68,"['thriller', 'crime', 'drama']",0.0,6.6,6065.0,8.992,6.5
96,tm15954,Wonder Man,MOVIE,1945,98,"['fantasy', 'comedy']",0.0,6.9,2228.0,3.373,6.5
97,tm131957,At War with the Army,MOVIE,1950,93,"['comedy', 'war']",0.0,5.5,2373.0,3.857,5.4
98,tm88605,Fear in the Night,MOVIE,1947,72,"['thriller', 'crime', 'drama']",0.0,6.4,1549.0,3.838,5.5
99,tm16906,San Pietro,MOVIE,1945,32,"['war', 'documentation']",0.0,,,2.659,6.1
100,tm165392,Becky Sharp,MOVIE,1935,84,"['drama', 'romance', 'war']",0.0,5.9,1097.0,2.191,5.8
101,tm163014,Gulliver's Travels,MOVIE,1939,76,"['action', 'animation', 'family', 'comedy', 'fantasy', 'romance']",0.0,6.6,4330.0,5.762,6.3
102,tm67142,The Inspector General,MOVIE,1949,101,"['romance', 'comedy']",0.0,6.7,3295.0,3.945,6.4
103,tm131928,The Vampire Bat,MOVIE,1933,64,"['horror', 'thriller', 'drama', 'romance', 'scifi']",0.0,5.7,2558.0,4.216,5.4
104,tm53436,Svengali,MOVIE,1931,81,"['horror', 'fantasy', 'drama', 'romance', 'scifi']",0.0,6.8,2027.0,1.237,6.0
105,tm83000,Pot o' Gold,MOVIE,1941,86,"['romance', 'comedy']",0.0,6.0,1745.0,2.255,6.3
106,tm88304,My Favorite Brunette,MOVIE,1947,87,"['thriller', 'crime', 'romance', 'comedy']",0.0,6.8,3404.0,3.368,6.8
107,tm106125,Within Our Gates,MOVIE,1920,74,"['drama', 'romance']",0.0,6.4,3098.0,4.79,5.7
108,tm107014,Way Down East,MOVIE,1920,145,"['romance', 'drama']",0.0,7.4,5460.0,5.858,7.0
109,tm115008,Ghosts on the Loose,MOVIE,1943,67,"['comedy', 'action', 'thriller']",0.0,5.0,1367.0,3.019,4.6
110,tm64701,My Foolish Heart,MOVIE,1950,98,"['drama', 'romance']",0.0,6.9,1055.0,2.368,7.4
111,tm89053,Terror by Night,MOVIE,1946,60,"['thriller', 'drama', 'crime']",0.0,6.8,6070.0,5.282,6.7
112,tm84810,Till the Clouds Roll By,MOVIE,1946,132,['music'],0.0,6.3,2406.0,2.711,5.6
113,tm83280,King of the Zombies,MOVIE,1941,67,"['comedy', 'horror']",0.0,5.2,2206.0,3.763,5.3
114,tm101000,Our Daily Bread,MOVIE,1934,80,"['romance', 'drama']",0.0,7.0,1968.0,3.615,7.1
115,tm105223,Judge Priest,MOVIE,1934,80,"['comedy', 'drama', 'romance']",0.0,6.2,2196.0,2.996,6.5
116,tm91499,Angel and the Badman,MOVIE,1947,100,"['western', 'romance']",0.0,6.8,5913.0,5.926,6.5
117,tm78387,That Uncertain Feeling,MOVIE,1941,84,"['romance', 'comedy']",0.0,6.6,2676.0,2.747,6.6
118,tm142928,The Emperor Jones,MOVIE,1933,75,"['drama', 'music']",0.0,6.4,1077.0,1.946,5.9
119,tm79455,The Mad Monster,MOVIE,1942,77,"['horror', 'drama', 'romance', 'scifi']",0.0,3.5,1743.0,3.158,3.2
120,tm113646,The North Star,MOVIE,1943,108,"['drama', 'war', 'romance']",0.0,5.9,1510.0,2.467,5.9
121,tm115888,Revolt of the Zombies,MOVIE,1936,65,['horror'],0.0,3.4,1693.0,2.739,3.3
122,tm64510,Tulsa,MOVIE,1949,90,"['drama', 'western', 'romance', 'action']",0.0,6.2,1197.0,2.557,6.1
123,tm61710,Africa Screams,MOVIE,1949,140,"['comedy', 'action']",0.0,6.0,3776.0,4.447,6.2
124,tm4000,Bluebeard,MOVIE,1944,71,"['crime', 'horror', 'thriller']",0.0,5.9,1892.0,2.089,5.8
125,tm17323,Captain Kidd,MOVIE,1945,90,"['drama', 'history']",0.0,6.3,1757.0,4.113,6.1
126,tm14979,Nazi Concentration Camps,MOVIE,1945,59,"['documentation', 'history']",0.0,8.3,1437.0,4.812,7.8
127,tm147,A Fool There Was,MOVIE,1915,67,['drama'],0.0,5.7,920.0,1.5,5.3
128,tm113731,Come and Get It,MOVIE,1936,99,"['romance', 'drama']",0.0,6.9,2094.0,2.138,6.7
129,tm75528,Tarzan of the Apes,MOVIE,1918,60,['action'],0.0,5.8,819.0,1.849,5.1
130,tm59440,Riders of the Whistling Pines,MOVIE,1949,70,"['western', 'music', 'action']",0.0,5.7,208.0,0.6,5.0
131,tm116645,The Woman of the Town,MOVIE,1943,90,"['western', 'romance', 'action']",0.0,6.1,183.0,0.963,6.0
132,tm82159,Bowery at Midnight,MOVIE,1942,61,"['horror', 'crime', 'thriller']",0.0,5.3,1113.0,3.302,5.4
133,tm91623,Dressed to Kill,MOVIE,1946,72,['crime'],0.0,6.8,6050.0,5.978,6.6
134,tm115641,Little Lord Fauntleroy,MOVIE,1936,102,"['drama', 'family']",0.0,7.2,2132.0,5.27,6.9
135,tm106886,The Last of the Mohicans,MOVIE,1920,73,"['drama', 'romance', 'war', 'action']",0.0,6.7,1275.0,2.591,6.4
136,tm105675,Sex,MOVIE,1920,87,"['drama', 'crime']",0.0,5.9,309.0,0.982,6.1
137,tm10223,The Iron Mask,MOVIE,1929,103,"['action', 'drama', 'history', 'romance']",0.0,7.0,1272.0,2.273,6.9
138,tm127645,The Black Pirate,MOVIE,1926,94,"['drama', 'action']",0.0,7.1,1892.0,4.019,6.9
139,tm53734,Air Eagles,MOVIE,1931,72,"['romance', 'drama', 'action', 'crime']",0.0,4.8,63.0,1.341,
140,tm5761,Enchantment,MOVIE,1948,100,"['romance', 'drama']",0.0,7.2,1199.0,2.231,6.5
141,tm78612,Spooks Run Wild,MOVIE,1941,65,"['horror', 'comedy']",0.0,5.4,1700.0,1.515,5.1
142,tm64369,"Swing High, Swing Low",MOVIE,1937,92,"['drama', 'music', 'romance', 'comedy']",0.0,6.2,755.0,2.363,5.0
143,tm89501,Scared to Death,MOVIE,1947,65,"['thriller', 'horror']",0.0,4.0,1605.0,1.372,4.2
144,tm154,Alice in Wonderland,MOVIE,1915,59,"['fantasy', 'family']",0.0,6.2,510.0,2.531,5.7
145,tm3491,The Animal Kingdom,MOVIE,1932,85,"['drama', 'comedy', 'romance']",0.0,6.4,1121.0,2.532,6.3
146,tm7350,Glorifying the American Girl,MOVIE,1929,95,"['music', 'comedy', 'drama']",0.0,5.8,717.0,2.303,5.7
147,tm115793,Lady of Burlesque,MOVIE,1943,91,"['romance', 'comedy', 'music']",0.0,6.3,2397.0,3.87,5.4
148,tm134133,Tarzan the Fearless,MOVIE,1933,228,"['action', 'romance', 'family']",0.0,4.9,711.0,1.795,3.6
149,tm162999,The Gorilla,MOVIE,1939,68,"['thriller', 'comedy', 'horror']",0.0,4.8,1458.0,2.64,4.9
150,tm116740,Why We Fight: The Nazis Strike,MOVIE,1943,42,"['war', 'documentation', 'history']",0.0,7.0,770.0,2.635,6.8
151,tm107305,Gung Ho!,MOVIE,1943,88,"['drama', 'war', 'history']",0.0,6.0,1441.0,3.528,5.0
152,tm164439,Hop-a-long Cassidy,MOVIE,1935,60,"['western', 'action', 'drama']",0.0,6.8,349.0,0.621,5.0
153,tm4237,The Cheat,MOVIE,1915,59,"['drama', 'romance']",0.0,6.5,2549.0,3.611,6.0
154,tm64700,Three Came Home,MOVIE,1950,106,"['drama', 'war']",0.0,7.3,1871.0,2.421,6.8
155,tm110834,Yellowstone,MOVIE,1936,63,"['drama', 'crime', 'romance', 'action']",0.0,5.3,142.0,2.729,5.0
156,tm101797,Blue Steel,MOVIE,1934,59,"['western', 'drama', 'action']",0.0,5.3,1586.0,4.457,4.9
157,tm161889,Nancy Drew... Reporter,MOVIE,1939,68,"['comedy', 'crime', 'family']",0.0,6.6,1193.0,3.304,6.3
158,tm4086,One Body Too Many,MOVIE,1944,75,"['thriller', 'comedy', 'horror']",0.0,5.3,1227.0,1.386,5.2
159,tm129565,Sparrows,MOVIE,1926,84,['drama'],0.0,7.4,1334.0,2.143,7.3
160,tm4401,Hollow Triumph,MOVIE,1950,90,"['thriller', 'crime', 'drama']",0.0,6.7,2764.0,3.899,6.5
161,tm90223,Dishonored Lady,MOVIE,1947,85,"['drama', 'crime']",0.0,6.4,1384.0,1.995,5.6
162,tm66273,The Second Woman,MOVIE,1950,91,"['drama', 'romance']",0.0,6.3,1209.0,3.21,5.7
163,tm90019,Topper Returns,MOVIE,1941,88,"['romance', 'comedy', 'fantasy']",0.0,6.8,3012.0,3.38,6.5
164,tm58781,Quicksand,MOVIE,1950,79,"['romance', 'drama', 'crime']",0.0,6.6,2368.0,3.571,6.1
165,tm4826,The Death Kiss,MOVIE,1932,75,"['comedy', 'drama', 'romance', 'crime']",0.0,6.0,1127.0,3.951,4.8
166,tm110938,The Ape Man,MOVIE,1943,64,"['horror', 'drama', 'scifi', 'thriller', 'action']",0.0,4.4,1315.0,3.207,4.2
167,tm64321,The Amazing Quest of Ernest Bliss,MOVIE,1936,80,"['romance', 'drama', 'comedy']",0.0,6.2,1860.0,2.021,7.1
168,tm63937,The Great Rupert,MOVIE,1950,88,"['comedy', 'family']",0.0,6.5,1228.0,1.988,5.9
169,tm163415,They Made Me a Criminal,MOVIE,1939,92,"['drama', 'crime', 'sport']",0.0,6.8,2300.0,3.074,6.3
170,tm101294,Midnight,MOVIE,1934,76,"['crime', 'drama', 'romance']",0.0,5.5,970.0,2.994,5.2
171,tm18496,The Great Flamarion,MOVIE,1945,78,"['drama', 'romance', 'thriller']",0.0,6.5,1228.0,2.737,6.2
172,tm222549,The Driftin' Kid,MOVIE,1941,57,"['western', 'action']",0.0,6.0,33.0,0.6,
173,tm101627,The Return Of Chandu,MOVIE,1934,60,"['fantasy', 'family', 'horror']",0.0,5.9,359.0,0.6,
174,tm156395,Suicide Squad,MOVIE,1935,56,"['romance', 'action', 'drama']",0.0,4.2,127.0,1.469,8.3
175,tm110555,Stage Door Canteen,MOVIE,1943,132,"['comedy', 'war', 'romance']",0.0,6.3,1671.0,3.045,6.2
176,tm73705,The Corpse Vanishes,MOVIE,1942,64,"['scifi', 'horror']",0.0,4.5,3174.0,4.166,4.1
177,tm76780,Black Dragons,MOVIE,1942,64,"['horror', 'war', 'thriller']",0.0,4.2,1129.0,2.061,5.5
178,tm87549,The Gang's All Here,MOVIE,1941,61,"['comedy', 'action']",0.0,5.4,180.0,1.936,5.1
179,tm70023,Beyond Tomorrow,MOVIE,1940,84,"['fantasy', 'romance', 'drama']",0.0,6.5,1847.0,2.241,6.0
180,tm2363,A Florida Enchantment,MOVIE,1914,63,"['fantasy', 'comedy']",0.0,5.8,251.0,1.282,4.4
181,tm6305,The Babe Ruth Story,MOVIE,1948,106,"['drama', 'family', 'sport']",0.0,5.2,1072.0,1.96,5.6
182,tm116534,Why We Fight: The Battle of Russia,MOVIE,1943,83,"['documentation', 'war', 'history']",0.0,7.1,1459.0,2.549,7.0
183,tm7637,Bulldog Drummond,MOVIE,1929,90,"['thriller', 'crime', 'drama']",0.0,6.3,1044.0,2.017,6.5
184,tm147347,The Eagle,MOVIE,1925,73,"['romance', 'drama', 'history', 'action', 'comedy', 'european']",0.0,6.6,2012.0,3.318,6.5
185,tm86688,Whistle Stop,MOVIE,1946,85,"['drama', 'crime']",0.0,5.5,1159.0,2.128,4.6
186,tm5668,Eyes of Texas,MOVIE,1948,70,['western'],0.0,6.3,152.0,0.887,6.0
187,tm1521,'Neath the Arizona Skies,MOVIE,1934,52,"['western', 'romance', 'action']",0.0,5.1,997.0,3.69,4.6
188,tm52591,Millie,MOVIE,1931,85,"['drama', 'romance']",0.0,6.2,717.0,2.21,6.3
189,tm82883,Target for Tonight,MOVIE,1941,48,"['documentation', 'war', 'drama']",0.0,6.3,352.0,0.61,6.0
190,tm66818,The Capture,MOVIE,1950,91,"['drama', 'action', 'western', 'crime']",0.0,5.9,536.0,2.01,5.5
191,tm348410,Attack in the Pacific,MOVIE,1944,52,"['war', 'documentation', 'history']",0.0,6.5,62.0,0.6,
192,tm5079,Under California Stars,MOVIE,1948,70,"['western', 'action', 'music', 'comedy']",0.0,5.6,320.0,1.228,5.1
193,tm110773,Report from the Aleutians,MOVIE,1943,47,"['documentation', 'history', 'war']",0.0,6.4,631.0,1.287,6.0
194,tm2767,The Marriage Circle,MOVIE,1924,85,"['comedy', 'romance']",0.0,7.1,1264.0,1.522,6.4
195,tm7057,Loaded Pistols,MOVIE,1948,78,['western'],0.0,5.9,139.0,1.466,4.0
196,tm165135,Scrooge,MOVIE,1935,78,"['drama', 'family', 'fantasy']",0.0,6.5,2271.0,2.061,6.1
197,tm69475,Hoosier Schoolboy,MOVIE,1937,62,['drama'],0.0,5.6,180.0,0.893,6.0
198,tm82769,Invisible Ghost,MOVIE,1941,63,"['thriller', 'crime', 'drama', 'horror']",0.0,5.2,2188.0,3.565,5.4
199,tm73200,Li'l Abner,MOVIE,1940,78,"['comedy', 'romance']",0.0,4.9,457.0,3.424,8.5
200,tm112306,The Crystal Ball,MOVIE,1943,81,"['comedy', 'romance']",0.0,6.5,719.0,1.67,5.8
201,tm81951,Hearts of the World,MOVIE,1918,117,"['drama', 'war']",0.0,6.6,999.0,0.912,6.0
202,tm100065,Blind Husbands,MOVIE,1919,89,"['drama', 'romance']",0.0,6.9,1538.0,1.585,6.3
203,tm20308,"Salome, Where She Danced",MOVIE,1945,90,"['drama', 'western', 'war', 'music', 'romance']",0.0,5.4,318.0,2.405,3.3
204,tm76311,Tom Brown's School Days,MOVIE,1940,86,['drama'],0.0,6.6,490.0,2.649,7.8
205,tm163483,Chandu on the Magic Island,MOVIE,1935,70,"['fantasy', 'action']",0.0,4.4,174.0,1.45,4.8
206,tm69671,Not Wanted,MOVIE,1949,91,['drama'],0.0,6.8,708.0,2.052,6.9
207,tm7600,Billy The Kid Returns,MOVIE,1938,53,"['western', 'music', 'romance', 'comedy', 'action']",0.0,5.8,271.0,2.031,5.3
208,tm5096,Blonde Ice,MOVIE,1948,73,"['drama', 'romance', 'crime']",0.0,6.0,1080.0,1.69,5.6
209,tm89848,Robin Hood of the Pecos,MOVIE,1941,59,"['western', 'comedy', 'music']",0.0,5.9,191.0,0.688,
210,tm56124,High Lonesome,MOVIE,1950,81,['western'],0.0,5.3,244.0,1.932,5.1
211,tm85884,Angel on My Shoulder,MOVIE,1946,100,"['fantasy', 'comedy', 'romance']",0.0,6.8,2762.0,2.289,6.1
212,tm4603,The Princess and the Pirate,MOVIE,1944,94,"['action', 'comedy', 'romance']",0.0,6.8,2179.0,2.78,6.6
213,tm57795,The Stolen Jools,MOVIE,1931,20,['comedy'],0.0,,,2.892,5.7
214,tm109893,City Without Men,MOVIE,1943,75,"['drama', 'crime']",0.0,5.3,128.0,1.726,5.0
215,tm3364,Up in Arms,MOVIE,1944,105,"['drama', 'romance', 'comedy', 'war']",0.0,6.3,983.0,1.328,7.0
216,tm7457,The Terror of Tiny Town,MOVIE,1938,62,"['comedy', 'western', 'family', 'music', 'romance', 'action']",0.0,3.9,1760.0,2.285,3.3
217,tm61,"$50,000 Reward",MOVIE,1924,55,['western'],0.0,5.2,60.0,1.96,5.0
218,tm133278,Sagebrush Trail,MOVIE,1933,54,"['western', 'action', 'drama', 'romance']",0.0,5.4,1232.0,3.853,5.4
219,tm158617,Murder by Television,MOVIE,1935,53,"['horror', 'scifi', 'thriller']",0.0,4.1,674.0,1.997,3.5
220,tm2211,A Shriek in the Night,MOVIE,1933,66,"['thriller', 'crime', 'romance', 'action', 'sport']",0.0,5.2,948.0,1.168,5.1
221,tm109693,The Milky Way,MOVIE,1936,89,"['comedy', 'family', 'sport', 'romance']",0.0,6.5,1671.0,1.356,6.1
222,tm2878,The Monster Walks,MOVIE,1932,60,"['thriller', 'horror']",0.0,4.1,939.0,3.518,4.5
223,tm159352,Raffles,MOVIE,1939,72,"['thriller', 'comedy', 'crime', 'drama', 'history', 'romance']",0.0,6.4,996.0,3.051,6.0
